news_source,news_title,news_link,news_date
https://lenta.ru/,«Арсенал» одержал волевую победу над «Эвертоном» в матче АПЛ,https://lenta.ru//news/2020/02/23/evertonars/,23/02/2020
https://lenta.ru/,Замглавы таможенного поста в Шереметьево заподозрили в получении взятки,https://lenta.ru//news/2020/02/23/tamozh/,23/02/2020
https://lenta.ru/,Россиянин сломал девушке ребра за невкусный ужин,https://lenta.ru//news/2020/02/23/rossiya/,23/02/2020
https://lenta.ru/,Тренер Логинова отреагировал на информацию о возбуждении уголовного дела,https://lenta.ru//news/2020/02/23/reaction/,23/02/2020
https://lenta.ru/,Коллега Шепелева объяснил уход телеведущего с Первого канала,https://lenta.ru//news/2020/02/23/shepelev/,23/02/2020
https://lenta.ru/,Российский чиновник в честь праздника простил ветеранам долги за услуги ЖКХ,https://lenta.ru//news/2020/02/23/veter_zhkh/,23/02/2020
https://lenta.ru/,«Дикая вечеринка» Фьюри после победы над Уайлдером попала на видео,https://lenta.ru//news/2020/02/23/afterparty/,23/02/2020
https://lenta.ru/,Форвард «Эвертона» забил мяч «Арсеналу» ударом через себя на первой минуте игры,https://lenta.ru//news/2020/02/23/goalcherez/,23/02/2020
https://lenta.ru/,Из-за коронавируса в Корее захотели закрыть секту,https://lenta.ru//news/2020/02/23/close/,23/02/2020
